"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							alle Inhalte						","","","693.659","45,78 %"
"
							Karte						","/karte","Seite","89.720","5,92 %"
"
							/stellenangebote						","/stellenangebote","","29.735","1,96 %"
"
							Tabelle						","/tabelle","Seite","27.247","1,80 %"
"
							Eingabe-Formular						","/eingabe-formular","Seite","10.620","0,70 %"
"
							/stellenangebote/einrichtungstyp/oeffentliche-bibliothek						","/stellenangebote/einrichtungstyp/oeffentliche-bibliothek","","8.786","0,58 %"
"
							Anpassung des eigenen Accounts bei OpenBiblioJobs						","/blog/52350","Beitrag","7.419","0,49 %"
"
							Stellenarchiv						","/stellenarchiv","Seite","5.144","0,34 %"
"
							/stellenangebote/einrichtungstyp/wissenschaftliche-bibliothek						","/stellenangebote/einrichtungstyp/wissenschaftliche-bibliothek","","4.340","0,29 %"
"
							/stellenangebote/stellentyp/arbeitsstelle						","/stellenangebote/stellentyp/arbeitsstelle","","4.170","0,28 %"
"
							/stellenangebote/stellentyp/ausbildungsplatz						","/stellenangebote/stellentyp/ausbildungsplatz","","4.002","0,26 %"
"
							/stellenangebote/einrichtungstyp/bibliothek						","/stellenangebote/einrichtungstyp/bibliothek","","3.636","0,24 %"
"
							Diese Krux mit den Links – Eine kleine Hilfe zur Meldung der richtigen Links						","/blog/59666","Beitrag","3.094","0,20 %"
"
							/stellenangebote/stellentyp/referendariat						","/stellenangebote/stellentyp/referendariat","","2.752","0,18 %"
"
							/stellenangebote/einrichtungstyp/archiv						","/stellenangebote/einrichtungstyp/archiv","","2.729","0,18 %"
"
							Datenschutzerklärung						","/datenschutzerklaerung","Seite","2.207","0,15 %"
"
							/blog						","/blog","","2.004","0,13 %"
"
							/stellenangebote/einrichtungstyp/spezialbibliothek						","/stellenangebote/einrichtungstyp/spezialbibliothek","","1.935","0,13 %"
"
							/stellenangebote/stellentyp/studentische-hilfskraft						","/stellenangebote/stellentyp/studentische-hilfskraft","","1.668","0,11 %"
"
							Kontakt						","/kontakt","Seite","1.463","0,10 %"
"
							9 Stellen im Bibliotheksreferendariat des Landes Niedersachsen						","/stellenangebote/57542","Stellenangebot","1.403","0,09 %"
"
							Fragen						","/faq","Seite","1.333","0,09 %"
"
							Impressum						","/impressum","Seite","1.187","0,08 %"
"
							About						","/about","Seite","1.155","0,08 %"
"
							Bibliotheksreferendariat (m/w/d) für den Vorbereitungsdienst an wissenschaftlichen Bibliotheken des Landes Hessen, Kennziffer 33746						","/stellenangebote/57516","Stellenangebot","1.038","0,07 %"
"
							/stellenangebote/stellentyp/praktikum						","/stellenangebote/stellentyp/praktikum","","1.012","0,07 %"
